CUSTID,AGE,AGEGRP1,AGEGRP2,AGEGRP3,AGEGRP4,AGEGRP5,AGEGRP6,SEX,EDUC,INCOME,INCGRP1,INCGRP2,INCGRP3,INCGRP4,INCGRP5,INCGRP6,KIDHOME,TEENHOME,GOURMAGS,WINEMAGS,STYLMAGS,HOUSMAGS,SPRTMAGS,TRAVMAGS,CULTMAGS,COMPMAGS,FIRSTPUR,LASTPUR,NPURCH,TBOTTLES,TOTCAT,TOTCREV,TOTCCOST,TOTCPROF,REV1STYR,REVLSTYR,COSTLAST,LTV,PROBSTAY,AVGPURCH,AVGDISC,AVGQUAL,PCTWEB,PERCDR,PERCSR,PERCDW,PERCSW,PERCDE,PERCEX,TOTLCOMP,DATELATE,TOTWCOMP,DATEWRNG,TOTPCOMM,DATELIKE,WINELOVR,WINEKNOW,COMPKNOW,KNOWALTW,STATUS,PARTIES,TRAVEL,CULTURAL,SATISWWW,TRUSTWWW,VALUEWWW,LOYALWWW,FACEBOOK,WINETAST
20002,60,0,0,0,0,1,0,0,12,127432,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,946,9,34,53,11,1949.59,1800.39,149.2,352.56,1043.6,935.98,541.42,90,57.34,6,100,0,51,30,2,8,9,8,1,192,0,.,0,.,6,6,1,6,2,6,4,5,4,5,4,1,0,1
20003,37,0,0,1,0,0,0,0,13,87327,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,867,867,1,1,10,14.47,24.58,-10.11,14.47,0,10,-28.05,70,14.47,0,80,0,0,0,100,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20004,28,0,1,0,0,0,0,0,20,52857,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,984,976,2,2,11,16.66,54.72,-38.06,16.66,0,11,-30.85,70,8.33,70,86,100,50,50,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20005,42,0,0,1,0,0,0,0,13,27296,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,632,632,1,1,7,15.66,19.78,-4.12,15.66,0,7,-19.63,70,15.66,0,79,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20006,63,0,0,0,0,1,0,1,19,101927,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,0,1168,14,22,39,13,803.86,1056.33,-252.47,195.75,307.02,477.64,-858.39,90,36.54,38,93,68,67,23,0,5,5,5,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20007,34,0,1,0,0,0,0,1,15,49822,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,849,849,1,1,10,20.82,29.66,-8.84,20.82,0,10,-28.05,70,20.82,0,80,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20008,28,0,1,0,0,0,0,1,19,29831,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1107,37,7,8,13,89.17,167.05,-77.88,7.87,27.74,40.84,-65.91,90,12.74,32,82,29,75,0,0,25,0,13,1,499,0,.,0,.,6,3,3,5,2,2,2,5,5,4,5,6,0,0
20009,36,0,0,1,0,0,0,0,20,52153,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,475,475,1,1,6,11.07,15.11,-4.04,11.07,0,6,-16.83,70,11.07,0,73,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20010,25,0,1,0,0,0,0,0,16,51222,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,666,188,2,2,8,17.01,47.23,-30.22,6.89,10.12,28.23,-66.39,80,8.5,63,82,50,0,100,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20011,46,0,0,0,1,0,0,0,20,53082,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1242,8,14,14,14,167.26,350.04,-182.78,8.09,95.31,195.34,-503.24,90,11.95,59,89,93,50,36,0,14,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
20012,32,0,1,0,0,0,0,0,15,30551,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,294,109,3,3,4,33.76,40.01,-6.25,33.76,33.76,31.01,7.71,70,11.25,0,83,0,67,0,0,0,33,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20013,39,0,0,1,0,0,0,1,18,49195,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,164,164,1,1,2,10.18,13.14,-2.96,10.18,10.18,10.14,0.11,70,10.18,0,87,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
20014,31,0,1,0,0,0,0,1,16,33724,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1390,6,14,14,16,230.81,492.36,-261.55,45.38,61.85,133.02,-358.08,90,16.49,59,95,7,79,14,0,0,7,7,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20015,65,0,0,0,0,0,1,0,19,164211,0,0,0,0,0,1,0,0,2,0,1,0,1,2,0,0,577,32,7,18,7,390.77,337.84,52.93,132.18,337.97,277.35,222.19,80,55.82,0,87,14,39,11,17,11,22,22,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
20016,41,0,0,1,0,0,0,0,13,66164,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1074,25,2,2,12,20.23,58.46,-38.23,10.12,10.12,32.23,-111.25,90,10.12,60,85,0,0,100,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
